Breakdown,TTM,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Total Revenue,"96,773,000.00","53,823,000.00","97,150,000.00","81,462,000.00","31,536,000.00"
Cost of Revenue,"79,113,000.00","40,217,000.00","79,441,000.00","60,609,000.00","24,906,000.00"
Gross Profit,"17,660,000.00","13,606,000.00","17,709,000.00","20,853,000.00","6,630,000.00"
Operating Expense,"8,769,000.00","7,110,000.00","9,475,000.00","7,021,000.00","4,636,000.00"
Operating Income,"8,891,000.00","6,496,000.00","8,234,000.00","13,832,000.00","1,994,000.00"
Net Non Operating Interest Income Expense,"910,000.00","-315,000.00","1,145,000.00","106,000.00","-718,000.00"
Other Income Expense,"172,000.00","162,000.00","-964,000.00","-219,000.00","-122,000.00"
Pretax Income,"9,973,000.00","6,343,000.00","8,415,000.00","13,719,000.00","1,154,000.00"
Tax Provision,"-5,001,000.00","699,000.00","-4,349,000.00","1,132,000.00","292,000.00"
Net Income Common Stockholders,"14,999,000.00","5,524,000.00","12,743,000.00","12,583,000.00","690,000.00"
Average Dilution Earnings,--,"9,000.00",--,"1,000.00",--
Diluted NI Available to Com Stockholders,"14,999,000.00","5,533,000.00","12,743,000.00","12,584,000.00","690,000.00"
Basic EPS,4.73,1.87,4.01,4.02,0.25
Diluted EPS,4.30,1.63,3.65,3.62,0.21
Basic Average Shares,"3,174,000.00","2,959,000.00","3,189,750.00","3,130,000.00","2,799,000.00"
Diluted Average Shares,"3,485,000.00","3,386,000.00","3,491,000.00","3,475,000.00","3,249,000.00"
Total Operating Income as Reported,"8,891,000.00","6,523,000.00","7,557,000.00","13,656,000.00","-1,994,000.00"
Rent Expense Supplemental,"1,268,000.00","978,000.00","1,057,000.00","1,509,000.00","563,000.00"
Total Expenses,"87,882,000.00","47,327,000.00","88,916,000.00","67,630,000.00","29,542,000.00"
Net Income from Continuing & Discontinued Operation,"14,999,000.00","5,524,000.00","12,704,000.00","12,583,000.00","721,000.00"
Normalized Income,"14,999,000.00","5,499,970.00","13,238,830.00","12,744,920.00","721,000.00"
Interest Income,"1,066,000.00","56,000.00","1,460,000.00","297,000.00","30,000.00"
Interest Expense,"156,000.00","371,000.00","315,000.00","191,000.00","748,000.00"
Net Interest Income,"910,000.00","-315,000.00","1,145,000.00","106,000.00","-718,000.00"
EBIT,"10,129,000.00","6,714,000.00","8,730,000.00","13,910,000.00","1,902,000.00"
EBITDA,"14,796,000.00","9,625,000.00","13,834,000.00","17,657,000.00","4,224,000.00"
Reconciled Cost of Revenue,"79,113,000.00","40,217,000.00","79,441,000.00","60,609,000.00","24,906,000.00"
Reconciled Depreciation,"4,667,000.00","2,911,000.00","5,104,000.00","3,747,000.00","2,322,000.00"
Net Income from Continuing Operation Net Minority Interest,"14,999,000.00","5,524,000.00","12,704,000.00","12,583,000.00","721,000.00"
Total Unusual Items Excluding Goodwill,--,"27,000.00","-677,000.00","-176,000.00",--
Total Unusual Items,--,"27,000.00","-677,000.00","-176,000.00",--
Normalized EBITDA,"14,796,000.00","9,598,000.00","14,511,000.00","17,833,000.00","4,224,000.00"
Tax Rate for Calcs,0.00,0.00,0.00,0.00,0.00
Tax Effect of Unusual Items,--,"2,970.00","-142,170.00","-14,080.00",--
